               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033952,            0.018505,            0.015818,             0.60395,             0.51546,              0.5107,             0.28225,            0.037227,           0.0095515,            0.015751,              0.0766,              0.0026,              0.0026
                   1,             0.03796,            0.018275,            0.015332,             0.57545,             0.53885,             0.50957,             0.28155,            0.041497,           0.0095347,            0.015547,            0.052038,           0.0050376,           0.0050376
                   2,            0.040626,            0.018001,            0.015445,             0.66496,             0.45387,             0.48354,             0.24606,            0.042339,           0.0095005,             0.01629,            0.027208,            0.007208,            0.007208
                   3,            0.043048,            0.018277,            0.016176,             0.55978,             0.40593,             0.41995,             0.21139,            0.044083,           0.0098791,            0.018294,            0.008515,            0.008515,            0.008515
                   4,            0.043729,            0.019236,            0.016847,             0.58692,             0.43774,             0.42188,             0.21559,            0.048989,            0.010516,            0.019197,            0.008515,            0.008515,            0.008515
                   5,            0.042677,            0.019574,            0.016684,             0.60559,             0.45366,             0.43984,             0.20146,            0.046639,            0.010914,            0.019936,             0.00802,             0.00802,             0.00802
                   6,            0.042405,            0.019011,            0.017593,             0.59667,             0.40544,             0.41735,             0.19163,            0.044936,            0.011005,            0.018324,            0.007525,            0.007525,            0.007525
                   7,            0.040182,            0.018959,            0.016219,             0.52635,             0.45261,             0.42389,             0.20804,            0.045286,            0.011104,            0.019352,             0.00703,             0.00703,             0.00703
                   8,            0.040705,            0.019726,            0.016082,             0.58433,             0.46006,             0.47822,             0.23915,            0.043353,            0.010614,            0.016096,            0.006535,            0.006535,            0.006535
                   9,            0.039019,            0.018999,            0.015171,             0.63074,             0.44111,             0.48837,             0.23046,            0.042037,            0.010355,             0.01601,             0.00604,             0.00604,             0.00604
                  10,             0.03769,            0.018753,            0.015681,             0.56352,              0.5229,             0.50755,              0.2794,            0.040827,            0.010877,            0.015745,            0.005545,            0.005545,            0.005545
                  11,            0.037331,            0.018133,            0.014622,             0.67844,             0.56158,              0.5489,              0.2662,            0.042478,            0.010477,            0.016323,             0.00505,             0.00505,             0.00505
                  12,            0.035962,            0.018273,            0.014215,             0.64516,              0.5104,             0.52299,             0.26044,            0.040446,            0.010413,            0.014716,            0.004555,            0.004555,            0.004555
                  13,            0.035516,            0.018148,            0.013801,             0.67496,             0.54037,             0.55201,             0.30956,            0.038901,            0.010553,            0.016225,             0.00406,             0.00406,             0.00406
                  14,            0.034371,            0.017684,            0.013053,              0.6888,             0.56135,             0.57188,             0.31874,             0.03821,            0.010068,            0.014294,            0.003565,            0.003565,            0.003565
                  15,            0.033452,            0.017833,            0.012052,             0.66122,             0.53515,             0.58075,              0.3324,            0.036895,            0.010008,            0.014952,             0.00307,             0.00307,             0.00307
                  16,            0.033205,            0.017537,            0.012606,             0.68286,             0.53902,             0.58428,             0.32372,            0.036393,           0.0099254,            0.013984,            0.002575,            0.002575,            0.002575
                  17,            0.030978,             0.01668,            0.011488,             0.67401,             0.59199,             0.58121,             0.32831,            0.036429,            0.009514,             0.01336,             0.00208,             0.00208,             0.00208
                  18,             0.03146,            0.016798,            0.010812,             0.67749,             0.58216,             0.58924,              0.3479,            0.035123,           0.0099209,            0.014282,            0.001585,            0.001585,            0.001585
                  19,            0.029658,            0.016391,            0.011311,              0.6818,             0.57742,             0.57822,             0.34705,             0.03477,           0.0096387,            0.013542,             0.00109,             0.00109,             0.00109
